Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0004497~monooxygenase activity	8	2.73972602739726	3.9816596804753186E-5	CYP39A1, CYP2C19, CYP2B6, CYP2A7, CYP2E1, CYP4V2, CYP1A2, CYP8B1	274	58	16881	8.497860558771709	0.023023981071409128	0.004647799965572741	0.058586322642506516
GOTERM_CC_DIRECT	GO:0005829~cytosol	80	27.397260273972602	5.033640375977213E-5	KIF23, STIL, ENAH, PRC1, CNDP1, OGDHL, ADH1C, KNTC1, ADH1B, AURKA, PTTG1, BBOX1, CCNE2, FOS, PRKAR2B, TDO2, ASPA, STARD5, CDCA8, MAT1A, ANK3, AKR7A3, GSTZ1, TUBG1, DEPDC1B, CDCA5, THRSP, CDCA3, KIF14, CDK1, AR, KIF11, SOCS2, KIF15, FBP1, TPX2, G6PD, RRM2, ZWINT, BUB1B, UROC1, NGFR, AKR1D1, EIF5A2, KIF4A, NEK2, CHEK1, KMO, IGF2BP3, GCH1, HMMR, TYMS, SPC25, ADH4, GYS2, SKA1, HBB, EHD3, GABARAPL1, CENPL, DTX1, GMNN, CIDEB, IDO2, KIF18A, EPHX2, FTCD, CENPF, BIRC5, CENPK, RACGAP1, INMT, SMC4, PCK1, S100A12, CCNB1, GBA3, PDE2A, FYN, NNMT	287	3315	18224	1.5323863128741175	0.013697840734307465	0.002296113516930376	0.06631379420468653
GOTERM_CC_DIRECT	GO:0000777~condensed chromosome kinetochore	9	3.0821917808219177	6.669056704552143E-5	SPC25, HJURP, NEK2, SPAG5, ZWINT, KNTC1, BUB1B, BIRC5, CENPK	287	87	18224	6.568785293764267	0.018107870796600256	0.002607141875983654	0.08785022099683237
GOTERM_MF_DIRECT	GO:0004252~serine-type endopeptidase activity	15	5.136986301369863	7.313720017415915E-5	F11, MASP1, MASP2, PAMR1, COLEC10, F8, F9, COLEC11, HGF, PLG, GZMK, LPA, FCN3, PROZ, CFI	274	255	16881	3.624087591240876	0.041884387106368326	0.007105771565268926	0.10758982093337366
GOTERM_MF_DIRECT	GO:0005515~protein binding	174	59.589041095890416	9.145959939074069E-5	STIL, GNA14, ENAH, PRC1, MASP1, MASP2, CRHBP, LDHD, KNTC1, TTK, AURKA, PTTG1, VIPR1, BBOX1, PRKAR2B, CDCA8, ASPA, LPA, DIRAS3, OIP5, ANK3, CLEC4G, CCBE1, AKR7A3, CFI, TUBG1, CDCA5, CCNA2, CDCA3, FLVCR1, F11, SATB1, KCND3, SOCS2, DTL, CDHR2, F8, FBP1, LIFR, DEPDC1, RND3, RFC4, SPAG5, ZWINT, MFAP4, KIF4A, BLM, LMNB1, NEK2, PTH1R, MME, CHEK1, IGF2BP3, FXYD6, SPC25, NCAPG2, SKA1, WDHD1, HELLS, LAPTM4B, GABARAPL1, MKI67, NTN4, CIDEB, BRIP1, TPD52L1, HGF, ECM1, S100A12, LYVE1, ITGA6, CXCL14, CSRNP1, AVPR1A, KIF23, FIGNL1, CPEB3, EZH2, OGDHL, E2F8, CCNE2, FAM83D, FOS, EDNRB, TDO2, CDC45, GPC3, FANCI, GSTZ1, OIT3, HHIP, SLC1A1, TOP2A, GHR, SLC22A1, KIF14, EGR1, CDK1, AR, KIF15, TPX2, NUSAP1, CBR4, PBK, MCM2, MCM3, MCM6, CD163, G6PD, RRM2, BUB1B, ZFPM2, NGFR, GADD45B, EIF5A2, MELK, SHCBP1, CLEC1B, PHYHD1, C6, FOXM1, CXCL2, NR3C2, PLVAP, CEP55, DCN, GCH1, HMMR, GPM6A, FCN3, HJURP, FAT4, MT1H, HBB, MT1G, FEN1, EHD3, TRIP13, EXO1, CENPL, CAP2, RAD51AP1, DTX1, MSH2, GIMAP7, GMNN, DLGAP5, HCLS1, FTCD, KIF18A, AXL, IGF1, CENPF, BIRC5, STAB2, NPY1R, NUP155, CDKN3, RACGAP1, CENPK, PLG, MT1X, INMT, IYD, SMC4, CCNB1, PLSCR4, DUSP1, PDE2A, FYN, CKS2, IGFBP3, KIF20A, BARD1	274	8785	16881	1.2202676260546967	0.052100042646667455	0.007614619696945879	0.1345264173829963
GOTERM_BP_DIRECT	GO:0006956~complement activation	9	3.0821917808219177	9.38655992676267E-5	CFP, C8B, C7, MASP1, FCN3, MASP2, C6, COLEC10, COLEC11	278	87	16792	6.248573554949144	0.14018397575306984	0.013636786605428441	0.1571679660596237
GOTERM_MF_DIRECT	GO:0016491~oxidoreductase activity	13	4.4520547945205475	1.0391655114145684E-4	CYP2C19, HSD17B2, RRM2, HAO2, F8, ADH1C, ALDH2, ADH1B, SLC9B2, CBR4, CYP2E1, CYP1A2, IYD	274	200	16881	4.004616788321168	0.05898325178697772	0.007570491034267546	0.15283608519920389
GOTERM_BP_DIRECT	GO:0007051~spindle organization	5	1.7123287671232876	1.1278118845830761E-4	KIF11, SPAG5, TTK, AURKA, ASPM	278	16	16792	18.87589928057554	0.16596104235862685	0.015009153250026053	0.18881197585892684
GOTERM_BP_DIRECT	GO:0031100~organ regeneration	7	2.3972602739726026	1.1614952182165028E-4	CDK1, MKI67, AXL, HGF, CXCL12, CCNA2, NNMT	278	47	16792	8.99617327414664	0.17046952807063853	0.014273722456453308	0.1944458929421522
GOTERM_BP_DIRECT	GO:0007052~mitotic spindle organization	6	2.054794520547945	1.1973931059447427E-4	CCNB1, STIL, SPC25, KIF11, TTK, AURKA	278	30	16792	12.080575539568345	0.1752476225018803	0.013668024472463403	0.2004498899812468
GOTERM_BP_DIRECT	GO:0030449~regulation of complement activation	6	2.054794520547945	1.1973931059447427E-4	CFP, C8B, C7, C9, C6, CFI	278	30	16792	12.080575539568345	0.1752476225018803	0.013668024472463403	0.2004498899812468
GOTERM_CC_DIRECT	GO:0005874~microtubule	16	5.47945205479452	1.258857313963204E-4	KIF14, KIF23, GABARAPL1, KIF4A, KIF11, NEK2, CRHBP, KIF15, KIF18A, TPX2, NUSAP1, BIRC5, AURKA, RACGAP1, TUBG1, KIF20A	287	311	18224	3.2667914001142764	0.033906696204192066	0.004302574994959341	0.1657671372578884
GOTERM_CC_DIRECT	GO:0005579~membrane attack complex	4	1.36986301369863	1.277632439974071E-4	C8B, C7, C9, C6	287	7	18224	36.284718765555	0.034403626940465726	0.0038823735091011446	0.1682375348498133
GOTERM_BP_DIRECT	GO:0019441~tryptophan catabolic process to kynurenine	4	1.36986301369863	1.4797575543391622E-4	AADAT, TDO2, IDO2, KMO	278	7	16792	34.51593011305242	0.21188448578647845	0.015748711999888476	0.2476640956587728
GOTERM_BP_DIRECT	GO:0006270~DNA replication initiation	6	2.054794520547945	1.6470652836974962E-4	PRIM1, CCNE2, CDC45, MCM2, MCM3, MCM6	278	32	16792	11.325539568345325	0.2328206188368639	0.01642822479445738	0.27562973808226143
GOTERM_CC_DIRECT	GO:0051233~spindle midzone	5	1.7123287671232876	1.911520332601288E-4	KIF14, CDCA8, BUB1B, AURKA, RACGAP1	287	19	18224	16.710067852558222	0.051032439336289426	0.005224371612962964	0.25161023039329544
GOTERM_MF_DIRECT	GO:0005506~iron ion binding	11	3.767123287671233	1.957381796835305E-4	CYP39A1, CYP2C19, CYP2B6, CYP26A1, CYP2A7, CYP2E1, CYP4V2, CYP1A2, CYP8B1, HBB, BBOX1	274	153	16881	4.429440389294403	0.10820415262889138	0.012643616317068895	0.2877022577187027
GOTERM_BP_DIRECT	GO:0045926~negative regulation of growth	5	1.7123287671232876	2.3099472983378064E-4	MT1M, GPC3, MT1H, MT1X, MT1G	278	19	16792	15.895494131010981	0.3104481973886082	0.021628180134209973	0.38635862989276903
GOTERM_BP_DIRECT	GO:0006805~xenobiotic metabolic process	8	2.73972602739726	2.9973252855286904E-4	CYP2C19, CYP2B6, EPHX2, AKR7A3, CYP26A1, CYP2E1, CYP1A2, S100A12	278	78	16792	6.195166943368383	0.38266405928720104	0.02644092589120961	0.5010572645989808
GOTERM_BP_DIRECT	GO:0007080~mitotic metaphase plate congression	6	2.054794520547945	3.3333007280318515E-4	KIF14, CCNB1, CDCA8, KIF18A, CEP55, CDCA5	278	37	16792	9.795061248298659	0.41516030453560826	0.02783768691486932	0.5570742729949951
GOTERM_BP_DIRECT	GO:0006569~tryptophan catabolic process	4	1.36986301369863	3.4653129758793733E-4	AADAT, TDO2, IDO2, KMO	278	9	16792	26.845723421262992	0.42745588380856603	0.02749812394271456	0.5790764891570155
GOTERM_BP_DIRECT	GO:0007018~microtubule-based movement	8	2.73972602739726	3.7830687423656174E-4	KIF23, KIF14, KIF4A, KIF11, KIF15, KIF18A, RACGAP1, KIF20A	278	81	16792	5.96571631583622	0.4560026625808238	0.028574789349964935	0.6320174361582831
GOTERM_BP_DIRECT	GO:0000070~mitotic sister chromatid segregation	5	1.7123287671232876	6.974226562625591E-4	NEK2, SPAG5, ZWINT, NUSAP1, SMC4	278	25	16792	12.080575539568345	0.6745493831016534	0.04974485044999888	1.1622249493764558
GOTERM_BP_DIRECT	GO:0008217~regulation of blood pressure	7	2.3972602739726026	6.975487932034014E-4	ACSM3, EDNRB, EPHX2, NPY1R, HBB, GCGR, GCH1	278	65	16792	6.504925290536802	0.674615474106643	0.047642809787976415	1.1624339976170073
GOTERM_BP_DIRECT	GO:0000732~strand displacement	5	1.7123287671232876	8.136205211792688E-4	EXO1, RAD51AP1, BLM, BRIP1, BARD1	278	26	16792	11.615938018815715	0.7300850229006537	0.053106524015262946	1.3546249222859519
GOTERM_BP_DIRECT	GO:0032870~cellular response to hormone stimulus	6	2.054794520547945	8.391764814407625E-4	FOS, DUSP1, SOCS2, AVPR1A, FOSB, GHR	278	45	16792	8.053717026378898	0.7409675196792329	0.05259827975458886	1.3968931094679227
GOTERM_BP_DIRECT	GO:0006069~ethanol oxidation	4	1.36986301369863	8.748403410203044E-4	ADH4, ADH1C, ALDH2, ADH1B	278	12	16792	20.134292565947245	0.7554252249982913	0.052722173482279144	1.4558507541096666
GOTERM_MF_DIRECT	GO:0017046~peptide hormone binding	5	1.7123287671232876	8.758440461278282E-4	EDNRB, PTH1R, AVPR1A, GCGR, GHR	274	27	16881	11.409164639091646	0.40105965430516655	0.049967730970643554	1.281357574329678
GOTERM_BP_DIRECT	GO:0017144~drug metabolic process	5	1.7123287671232876	9.428357964758275E-4	CYP2C19, CYP2B6, EPHX2, CYP2E1, CYP1A2	278	27	16792	11.185718092192912	0.7807929140594718	0.05466180127233211	1.5681654815459911
GOTERM_BP_DIRECT	GO:0007596~blood coagulation	11	3.767123287671233	9.780412574370706E-4	F11, PRKAR2B, FYN, PROZ, F8, F9, ZFPM2, HBB, TFPI2, EHD3, PLG	278	184	16792	3.6110416015014075	0.7928761678551125	0.054678260491338726	1.6262704694241847
GOTERM_BP_DIRECT	GO:0006957~complement activation, alternative pathway	4	1.36986301369863	0.0011234705907621368	CFP, C8B, C7, C9	278	13	16792	18.585500830105147	0.8361297578101702	0.06046319766326036	1.8659532439845972
GOTERM_MF_DIRECT	GO:0019901~protein kinase binding	16	5.47945205479452	0.001244677655592978	KIF14, KIF11, PRC1, MSH2, HCLS1, FOXM1, TPX2, AURKA, RACGAP1, FAM83D, CCNB1, CCNE2, CKS2, CCNA2, GHR, KIF20A	274	376	16881	2.621680385152974	0.5174110160245203	0.06408952198369511	1.8163671787592928
GOTERM_CC_DIRECT	GO:0005871~kinesin complex	6	2.054794520547945	0.0014253720887421203	KIF23, KIF14, KIF4A, KIF11, KIF18A, KIF20A	287	53	18224	7.188482019591087	0.3235052270558745	0.034906267975823524	1.86216169040484
GOTERM_CC_DIRECT	GO:0042567~insulin-like growth factor ternary complex	3	1.0273972602739725	0.001442222226884236	IGFALS, IGF1, IGFBP3	287	4	18224	47.62369337979094	0.326625826327825	0.032417426494096624	1.8839824369018876
GOTERM_BP_DIRECT	GO:0046602~regulation of mitotic centrosome separation	3	1.0273972602739725	0.001591589488414318	KIF11, NEK2, CHEK1	278	4	16792	45.3021582733813	0.9229197025672597	0.08188282285287107	2.633739031664417
GOTERM_MF_DIRECT	GO:0016712~oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen	4	1.36986301369863	0.0016480014429572092	CYP2B6, CYP2A7, CYP2E1, CYP1A2	274	15	16881	16.42919708029197	0.6189696016362296	0.07725867968725808	2.3983122463025808
GOTERM_MF_DIRECT	GO:0008392~arachidonic acid epoxygenase activity	4	1.36986301369863	0.0016480014429572092	CYP2C19, CYP2B6, CYP2A7, CYP2E1	274	15	16881	16.42919708029197	0.6189696016362296	0.07725867968725808	2.3983122463025808
GOTERM_CC_DIRECT	GO:0000922~spindle pole	8	2.73972602739726	0.0016619335545749268	CCNB1, KIF11, PRC1, NEK2, SPAG5, KNTC1, TPX2, CENPF	287	109	18224	4.66042259374101	0.3660268089786467	0.03445018696715374	2.168096148716858
GOTERM_CC_DIRECT	GO:0000776~kinetochore	7	2.3972602739726026	0.0017182947012147252	NEK2, SPAG5, ZWINT, KIF18A, CENPF, TTK, BUB1B	287	81	18224	5.4875037639265285	0.3757583397980171	0.0330982657060408	2.2408553977185552
GOTERM_BP_DIRECT	GO:0007095~mitotic G2 DNA damage checkpoint	4	1.36986301369863	0.0017442114058171187	CDK1, BLM, FANCI, CCNA2	278	15	16792	16.107434052757796	0.9397279326526662	0.0866254506664681	2.882838573061919
GOTERM_BP_DIRECT	GO:0007093~mitotic cell cycle checkpoint	5	1.7123287671232876	0.0018109904824494365	ZWINT, KNTC1, TTK, BUB1B, CHEK1	278	32	16792	9.43794964028777	0.9458785878970294	0.08711139733677986	2.991642454775756
GOTERM_MF_DIRECT	GO:0003777~microtubule motor activity	7	2.3972602739726026	0.0018709883826196231	KIF23, KIF14, KIF4A, KIF11, KIF15, KIF18A, KIF20A	274	80	16881	5.390830291970802	0.6656454785843722	0.0808200260212587	2.7186724416101704
GOTERM_CC_DIRECT	GO:0032133~chromosome passenger complex	3	1.0273972602739725	0.002378791925300671	CDCA8, AURKA, BIRC5	287	5	18224	38.09895470383275	0.47929179137182054	0.042571623774038225	3.0898036260293082
GOTERM_MF_DIRECT	GO:0008574~ATP-dependent microtubule motor activity, plus-end-directed	4	1.36986301369863	0.002404767923793466	KIF14, KIF4A, KIF11, KIF18A	274	17	16881	14.496350364963503	0.7554861811650306	0.09571071199092529	3.4815645189888555
GOTERM_CC_DIRECT	GO:0031090~organelle membrane	7	2.3972602739726026	0.002473158335581271	CYP39A1, CYP2C19, CYP2B6, CYP26A1, CYP2A7, CYP1A2, CYP8B1	287	87	18224	5.109055228483319	0.4926147643507832	0.041518766428427556	3.210536602916858
GOTERM_BP_DIRECT	GO:0000731~DNA synthesis involved in DNA repair	5	1.7123287671232876	0.0025368575400619253	EXO1, RAD51AP1, BLM, BRIP1, BARD1	278	35	16792	8.628982528263105	0.9832103059858956	0.11648603668121538	4.16693481476419
GOTERM_BP_DIRECT	GO:0071276~cellular response to cadmium ion	4	1.36986301369863	0.0025439351178874613	CYP1A2, MT1H, MT1X, MT1G	278	17	16792	14.212441811256877	0.9834009009358552	0.11355959270987737	4.178328326414638
GOTERM_BP_DIRECT	GO:0008283~cell proliferation	15	5.136986301369863	0.0031244645737031986	STIL, CDK1, AR, MKI67, DLGAP5, E2F8, KIF15, TPX2, CENPF, IGF1, FAM83D, TYMS, CKS2, BUB1B, MELK	278	366	16792	2.47552777450171	0.9934946713788594	0.13399185177671613	5.1085420724089285
GOTERM_CC_DIRECT	GO:0005813~centrosome	16	5.47945205479452	0.0031437930466137612	KIF23, STIL, CDK1, NEK2, DTL, KIF15, CENPF, AURKA, CHEK1, CEP55, MCM3, CCNB1, PRKAR2B, CDC45, G6PD, TUBG1	287	426	18224	2.38491109257169	0.5780026184816232	0.049484075076991596	4.064555097185307
GOTERM_BP_DIRECT	GO:0071294~cellular response to zinc ion	4	1.36986301369863	0.003537917775810639	MT1M, MT1H, MT1X, MT1G	278	19	16792	12.716395304808785	0.9966627338692563	0.146496510315423	5.765855917513618
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	62	21.232876712328768	0.003697220696423524	KIF23, PRC1, EZH2, AURKA, PRIM1, CCNE2, FOS, CDCA8, CDC45, FANCI, OIP5, TOP2A, CDCA5, THRSP, CCNA2, EGR1, CDK1, SATB1, AR, DTL, NEIL3, TPX2, IGFALS, DEPDC1, MCM2, MCM3, MCM6, RFC4, SPAG5, RRM2, ZFPM2, NGFR, UBE2T, KIF4A, BLM, LMNB1, FOXM1, NR3C2, CHEK1, GCH1, TYMS, NCAPG2, HJURP, DHODH, WDHD1, FEN1, EXO1, GINS1, CENPL, RAD51AP1, MSH2, GMNN, CENPF, BRIP1, ATAD2, BIRC5, CENPK, RACGAP1, SMC4, CCNB1, KIF20A, BARD1	287	2784	18224	1.4141135007409187	0.6375670592908735	0.054824081651034584	4.764066271522715
GOTERM_MF_DIRECT	GO:0004024~alcohol dehydrogenase activity, zinc-dependent	3	1.0273972602739725	0.0037445082525960497	ADH4, ADH1C, ADH1B	274	6	16881	30.804744525547445	0.8886023266494114	0.1361100772189553	5.3718661553064155
GOTERM_BP_DIRECT	GO:0000079~regulation of cyclin-dependent protein serine/threonine kinase activity	5	1.7123287671232876	0.003785138763083119	CCNE2, BLM, DIRAS3, CDKN3, CCNA2	278	39	16792	7.743958679210477	0.9977612637165163	0.15203396363203525	6.156843443701576
GOTERM_CC_DIRECT	GO:0072686~mitotic spindle	5	1.7123287671232876	0.0038102328540103097	KIF23, CDK1, SPAG5, AURKA, RACGAP1	287	41	18224	7.743689980453811	0.6486589298572936	0.05356455702848151	4.906328473902899
GOTERM_MF_DIRECT	GO:0042803~protein homodimerization activity	23	7.876712328767123	0.0038691967128303205	AADAT, MASP1, MSH2, GIMAP7, E2F8, EPHX2, TTK, CENPF, BIRC5, TPD52L1, PLVAP, GCH1, TYMS, G6PD, PDE2A, GYS2, GSTZ1, TOP2A, THRSP, PON3, GHR, SLC22A1, BARD1	274	730	16881	1.9411208879112085	0.8964675646143562	0.13215477777008688	5.546028285855254
GOTERM_BP_DIRECT	GO:2000107~negative regulation of leukocyte apoptotic process	3	1.0273972602739725	0.003892841257639092	CCL21, HCLS1, CXCL12	278	6	16792	30.201438848920866	0.9981187237583123	0.1522358102727951	6.326700736068558
GOTERM_BP_DIRECT	GO:0016098~monoterpenoid metabolic process	3	1.0273972602739725	0.003892841257639092	CYP2C19, CYP2E1, CYP1A2	278	6	16792	30.201438848920866	0.9981187237583123	0.1522358102727951	6.326700736068558
GOTERM_BP_DIRECT	GO:0046483~heterocycle metabolic process	3	1.0273972602739725	0.003892841257639092	CYP2C19, CYP2E1, CYP1A2	278	6	16792	30.201438848920866	0.9981187237583123	0.1522358102727951	6.326700736068558
GOTERM_MF_DIRECT	GO:0003697~single-stranded DNA binding	7	2.3972602739726026	0.003989306146744261	PRIM1, CDC45, RAD51AP1, BLM, MSH2, NEIL3, MCM6	274	93	16881	4.63727336943725	0.9035192259386392	0.12851237955093164	5.713511982593089
GOTERM_BP_DIRECT	GO:1901796~regulation of signal transduction by p53 class mediator	8	2.73972602739726	0.0045056959047432045	EXO1, RFC4, BLM, TPX2, BRIP1, CHEK1, AURKA, BARD1	278	124	16792	3.89695985147366	0.9993011303603457	0.16998282050651858	7.287742297281707
GOTERM_MF_DIRECT	GO:0003682~chromatin binding	15	5.136986301369863	0.004725731795783816	EXO1, CDK1, SATB1, AR, EZH2, CENPF, ATAD2, PLAC8, FOS, CDC45, CKS2, CDCA5, TOP2A, UBE2T, HELLS	274	391	16881	2.363535385591876	0.9374072624902474	0.14268540112707606	6.734366626770527
GOTERM_BP_DIRECT	GO:0008284~positive regulation of cell proliferation	17	5.821917808219178	0.004768434546782113	KIF14, AR, PRC1, HCLS1, FOXM1, PTH1R, LIFR, TTK, IGF1, BIRC5, ESM1, HGF, VIPR1, PLAC8, EDNRB, AVPR1A, EIF5A2	278	466	16792	2.2035384567882175	0.9995429703280494	0.17491515543421565	7.696907083604165
GOTERM_CC_DIRECT	GO:0045120~pronucleus	3	1.0273972602739725	0.004892651484696461	EZH2, CENPF, AURKA	287	7	18224	27.213539074166253	0.7391674776648267	0.06498605720549044	6.258987623897605
GOTERM_BP_DIRECT	GO:0001867~complement activation, lectin pathway	3	1.0273972602739725	0.005390787458570281	MASP1, FCN3, MASP2	278	7	16792	25.886947584789315	0.9998329538819862	0.1911386978488766	8.6593374218348
